broken_year,industry,location,funded_status,survival_time,cause_of_failure,dataid
2019,Real Estate,Guangdong,Series A,1461,product mistimed,110
2019,Enterprise Service,Sichuan,No Funding,1400,no business model,111
2019,Social Media,Guangdong,Angel Round,1612,no market need,112
2019,Social Media,Beijing,Strategic,547,founder,113
2019,Enterprise Service,Beijing,Series A,1461,pivot gone bad,114
2019,Finance,Beijing,No Funding,1156,supervision,115
2019,Education,Beijing,Seed Round,1553,product mistimed,116
2019,Enterprise Service,Beijing,Angel Round,1247,pivot gone bad,117
2019,Hardware,Zhejiang,No Funding,1278,pricing/cost issue,118
2019,Finance,Shanghai,No Funding,1492,no business model,119
2019,Education,Shaanxi,No Funding,1581,get outcompeted,120
2019,Social Media,Zhejiang,Angel Round,1553,no business model,121
2019,Social Media,Beijing,Angel Round,1308,poor product,122
2019,E-Commerce,Shanghai,Angel Round,1612,no investor interest,123
2019,E-Commerce,Beijing,Angel Round,1612,ran out of cash,124
2019,Social Media,Beijing,Pre-A Round,1522,no market need,125
2019,Enterprise Service,Beijing,Angel Round,1492,no market need,126
2019,Enterprise Service,Beijing,Series A,1612,pivot gone bad,127
2019,Transportation,Beijing,Angel Round,1612,product mistimed,128
2019,Finance,Zhejiang,No Funding,1431,no investor interest,129
2019,Transportation,Shanghai,Angel Round,1553,no business model,130
2019,Finance,Beijing,Acquired,1553,supervision,131
2019,Local Business,Beijing,Angel Round,1522,product mistimed,132
2019,Entertainment,Jiangsu,No Funding,1369,no business model,133
2019,Game,Sichuan,No Funding,396,ran out of cash,134
2019,Local Business,Overseas,Series A,1612,burn out,135
2019,Transportation,Beijing,Pre-A Round,1461,product mistimed,136
2019,Finance,Zhejiang,Series B,1753,supervision,137
2019,Finance,Zhejiang,Series B,1927,legal challenges,138
2019,E-Commerce,Shanghai,Acquired,3499,pivot gone bad,139
2019,Local Business,Guangdong,Strategic,637,founder,140
2019,Enterprise Service,Beijing,Series A,1396,founder,141
2019,Enterprise Service,Beijing,Angel Round,1364,get outcompeted,142
2019,Finance,Zhejiang,Series B,1863,legal challenges,143
2019,Transportation,Guangdong,Series A,764,founder,144
2019,E-Commerce,Shanghai,Series A,883,no business model,145
2019,Logistics,Beijing,Strategic,3074,ignore customers,146
2019,Finance,Guangdong,Series D,2800,supervision,147
2019,Entertainment,Shanghai,Series B,1368,burn out,148
2019,Finance,Guangdong,Angel Round,3126,supervision,149
2019,Enterprise Service,Beijing,Series B,1726,product mistimed,150
2019,Enterprise Service,Hubei,No Funding,1419,ran out of cash,151
2019,Education,Shanghai,Pre-A Round,2052,no market need,152
2019,Local Business,Beijing,Series B,1798,team/investors,153
2019,Entertainment,Shanghai,Angel Round,1943,no business model,154
2019,Education,Shanghai,Series B+,2336,product mistimed,155
2019,Real Estate,Shanghai,Series E,1705,burn out,156
2019,Enterprise Service,Zhejiang,Angel Round,1394,pivot gone bad,157
2019,Agriculture,Shanghai,No Funding,1394,pivot gone bad,158
2019,Finance,Beijing,Series B,2791,ran out of cash,159
2019,Education,Beijing,Acquired,870,ran out of cash,160
2019,Health,Beijing,Angel Round,1417,no business model,161
2019,Finance,Zhejiang,Series A+,1627,supervision,162
2019,E-Commerce,Hunan,Public,1864,lose focus,163
2019,Finance,Shanghai,Series B,1645,legal challenges,164
2018,Finance,Beijing,No Funding,1825,pivot gone bad,165
2018,E-Commerce,Beijing,Angel Round,1552,no market need,166
2018,Local Business,Guangdong,Angel Round,1825,no business model,167
2018,Finance,Sichuan,Angel Round,1552,supervision,168
2018,Local Business,Overseas,Pre-A Round,1521,no market need,169
2018,E-Commerce,Beijing,Series B,1825,ran out of cash,170
2018,Local Business,Beijing,Pre-A Round,1491,lose focus,171
2018,Entertainment,Shanghai,Pre-A Round,1825,ran out of cash,172
2018,Health,Beijing,No Funding,1613,lose focus,173
2018,Education,Beijing,Angel Round,1613,lose focus,174
2018,Marketing,Shaanxi,No Funding,1644,no investor interest,175
2018,Enterprise Service,Sichuan,Angel Round,1552,get outcompeted,176
2018,Transportation,Shanghai,Angel Round,1582,burn out,177
2018,Marketing,Beijing,Angel Round,1674,no investor interest,178
2018,Health,Zhejiang,Series A,1491,burn out,179
2018,E-Commerce,Guangdong,No Funding,1735,no investor interest,180
2018,Education,Beijing,Angel Round,1825,ran out of cash,181
2018,Transportation,Beijing,Angel Round,1491,product mistimed,182
2018,E-Commerce,Zhejiang,Angel Round,1794,lose focus,183
2018,Travel,Shanghai,Series A,1552,product mistimed,184
2018,Sports,Beijing,Angel Round,1582,no investor interest,185
2018,Tool,Fujian,No Funding,1825,no investor interest,186
2018,Logistics,Guangdong,Series A,1825,founder,187
2018,Sports,Guangdong,Angel Round,1766,product mistimed,188
2018,Enterprise Service,Beijing,Series A,1613,no business model,189
2018,Game,Beijing,Angel Round,1825,get outcompeted,190
2018,Enterprise Service,Beijing,Series A,1613,no business model,191
2018,Logistics,Shanghai,Series A,1613,no investor interest,192
2018,Transportation,Shandong,Angel Round,1491,no market need,193
2018,Education,Beijing,Angel Round,1674,ran out of cash,194
2018,Entertainment,Guangdong,Series A+,1613,product mistimed,195
2018,Local Business,Guangdong,Series A,1644,pivot gone bad,196
2018,Social Media,Beijing,Series A,1582,no business model,197
2018,Local Business,Jiangsu,No Funding,1735,get outcompeted,198
2018,Social Media,Beijing,Angel Round,1613,no business model,199
2018,Local Business,Beijing,Acquired,1491,product mistimed,200
2018,Finance,Shanghai,No Funding,1644,supervision,201
2018,Logistics,Shanghai,No Funding,1613,no business model,202
2018,Social Media,Shanghai,No Funding,1491,no market need,203
2018,Transportation,Guangdong,Angel Round,1491,no market need,204
2018,E-Commerce,Beijing,No Funding,1825,lose focus,205
2018,Local Business,Shanghai,Angel Round,1674,no market need,206
2018,E-Commerce,Zhejiang,Series A,1613,no business model,207
2018,E-Commerce,Guangdong,Series A,1552,pivot gone bad,208
2018,Social Media,Beijing,Angel Round,1825,no market need,209
2018,Entertainment,Overseas,Seed Round,1613,poor product,210
2018,Local Business,Shanghai,Angel Round,1521,product mistimed,211
2018,Enterprise Service,Sichuan,No Funding,1613,no business model,212
2018,Finance,Zhejiang,No Funding,1825,supervision,213
2018,Real Estate,Beijing,Series A,1674,no business model,214
2018,Game,Shanghai,Angel Round,1674,ran out of cash,215
2018,Local Business,Guangdong,No Funding,1644,pricing/cost issue,216
2018,Hardware,Guangdong,No Funding,1644,ran out of cash,217
2018,E-Commerce,Zhejiang,No Funding,1674,get outcompeted,218
2018,Entertainment,Beijing,Angel Round,1491,product mistimed,219
2018,Hardware,Guangdong,Angel Round,1735,no market need,220
2018,Entertainment,Beijing,No Funding,1825,no business model,221
2018,Local Business,Beijing,Angel Round,1521,pivot gone bad,222
2018,Transportation,Beijing,Angel Round,1735,poor product,223
2018,Social Media,Guangdong,Series A,1644,product mistimed,224
2018,Local Business,Beijing,Angel Round,1674,no business model,225
2018,Game,Overseas,Series A,1825,not the right team,226
2018,Transportation,Jiangsu,No Funding,2070,no business model,227
2018,Travel,Beijing,Angel Round,1644,no market need,228
2018,Health,Guangdong,No Funding,1552,no business model,229
2018,Sports,Beijing,Angel Round,1491,no market need,230
2018,Enterprise Service,Anhui,No Funding,1766,no investor interest,231
2018,Transportation,Overseas,Acquired,1735,lose focus,232
2018,Marketing,Jiangsu,Angel Round,1766,no business model,233
2018,Sports,Beijing,No Funding,1582,no business model,234
2018,Social Media,Guangdong,Angel Round,1491,no market need,235
2018,Education,Zhejiang,Series A,1644,ran out of cash,236
2018,Education,Shanghai,Series C,1491,ran out of cash,237
2018,Enterprise Service,Beijing,Angel Round,1552,get outcompeted,238
2018,Transportation,Beijing,Angel Round,1735,burn out,239
2018,E-Commerce,Guangdong,Angel Round,1674,no market need,240
2018,Social Media,Liaoning,Angel Round,1521,no business model,241
2018,Social Media,Shanghai,Angel Round,1794,no business model,242
2018,Transportation,Beijing,Series A+,1766,burn out,243
2018,E-Commerce,Guangdong,Series A,1552,team/investors,244
2018,E-Commerce,Shanghai,No Funding,1521,no business model,245
2018,Entertainment,Beijing,Series A,1674,no business model,246
2018,Local Business,Beijing,Angel Round,1644,product mistimed,247
2018,Local Business,Beijing,Series A,1766,burn out,248
2018,Enterprise Service,Shanghai,Series A,1582,get outcompeted,249
2018,Enterprise Service,Tianjin,Angel Round,1521,product mistimed,250
2018,Transportation,Beijing,Angel Round,1825,no market need,251
2018,Game,Shanghai,Angel Round,1491,ran out of cash,252
2018,E-Commerce,Guangdong,No Funding,1613,pricing/cost issue,253
2018,Sports,Beijing,Angel Round,1552,no market need,254
2018,Enterprise Service,Jiangsu,No Funding,1705,no investor interest,255
2018,Local Business,Guangdong,Angel Round,1766,no market need,256
2018,Logistics,Overseas,Seed Round,1521,product mistimed,257
2018,Transportation,Beijing,Series A,1766,burn out,258
2018,Tool,Shanghai,Angel Round,1674,no market need,259
2018,Finance,Shanghai,Angel Round,1825,ran out of cash,260
2018,Transportation,Beijing,No Funding,1856,no business model,261
2018,Social Media,Fujian,Angel Round,1644,no market need,262
2018,Local Business,Zhejiang,Angel Round,1491,no market need,263
2018,Enterprise Service,Beijing,Seed Round,1674,no market need,264
2018,Education,Zhejiang,Angel Round,1644,no market need,265
2018,Hardware,Jiangsu,No Funding,1521,pricing/cost issue,266
2018,Sports,Guangdong,Pre-A Round,1825,ran out of cash,267
2018,Tool,Sichuan,Pre-A Round,1521,no market need,268
2018,Enterprise Service,Beijing,No Funding,1735,ignore customers,269
2018,Social Media,Hubei,No Funding,1735,no market need,270
2018,Enterprise Service,Beijing,Angel Round,1886,no investor interest,271
2018,Sports,Jiangsu,No Funding,1705,pricing/cost issue,272
2018,Finance,Jiangsu,No Funding,1582,supervision,273
2018,Transportation,Guangdong,No Funding,1644,no market need,274
2018,E-Commerce,Guangdong,Angel Round,1521,no business model,275
2018,Social Media,Guangdong,Angel Round,1644,no market need,276
2018,Local Business,Zhejiang,Angel Round,1613,no business model,277
2018,Sports,Shanghai,Angel Round,1644,poor marketing,278
2018,E-Commerce,Zhejiang,Seed Round,1582,no market need,279
2018,Real Estate,Shanghai,Angel Round,1491,product mistimed,280
2018,Tool,Sichuan,No Funding,1644,no business model,281
2018,Education,Beijing,No Funding,1491,lose focus,282
2018,Enterprise Service,Beijing,Angel Round,1521,product mistimed,283
2018,Finance,Beijing,No Funding,1735,no business model,284
2018,E-Commerce,Beijing,Angel Round,1705,product mistimed,285
2018,Travel,Beijing,Angel Round,1582,no market need,286
2018,E-Commerce,Guangdong,Acquired,1552,burn out,287
2018,Enterprise Service,Beijing,Angel Round,1613,pivot gone bad,288
2018,Transportation,Beijing,Angel Round,1766,founder,289
2018,Hardware,Shanghai,Angel Round,1582,no investor interest,290
2018,Health,Beijing,Series A,1552,burn out,291
2018,Social Media,Shanghai,Series B,1644,no market need,292
2018,Tool,Shanghai,Angel Round,1521,legal challenges,293
2018,Hardware,Fujian,Angel Round,1582,ran out of cash,294
2018,Transportation,Sichuan,Series A,1521,product mistimed,295
2018,Travel,Beijing,No Funding,1825,pivot gone bad,296
2018,Local Business,Shanghai,Series C,1491,no market need,297
2018,Social Media,Beijing,No Funding,2496,no business model,298
2018,Sports,Beijing,Acquired,1735,no investor interest,299
2018,Transportation,Beijing,Series B,1856,no business model,300
2018,Social Media,Beijing,Angel Round,1825,no business model,301
2018,E-Commerce,Zhejiang,Angel Round,1582,no market need,302
2018,Hardware,Guangdong,Pre-A Round,1766,product mistimed,303
2018,Tool,Beijing,Pre-A Round,1644,no market need,304
2018,Health,Tianjin,Angel Round,1674,no business model,305
2018,Enterprise Service,Jiangsu,Angel Round,1735,no business model,306
2018,E-Commerce,Guangdong,No Funding,1825,pivot gone bad,307
2018,Finance,Guangdong,No Funding,1582,ran out of cash,308
2018,Social Media,Guangdong,Angel Round,1582,no investor interest,309
2018,Health,Shanghai,Angel Round,1825,no business model,310
2018,Entertainment,Beijing,No Funding,1582,no market need,311
2018,Transportation,Beijing,No Funding,1552,get outcompeted,312
2018,Tool,Overseas,Angel Round,1735,pivot gone bad,313
2018,Local Business,Zhejiang,Angel Round,1491,get outcompeted,314
2018,Real Estate,Shanghai,Series B,1766,ran out of cash,315
2018,Education,Guangdong,Angel Round,1613,lose focus,316
2018,Enterprise Service,Hubei,No Funding,695,lose focus,317
2018,Entertainment,Zhejiang,Series B,2339,ran out of cash,318
2018,Hardware,Zhejiang,Series B,1456,ran out of cash,319
2018,Health,Zhejiang,Seed Round,872,no business model,320
2018,Finance,Sichuan,Angel Round,1433,no business model,321
2018,Local Business,Beijing,Pre-A Round,944,get outcompeted,322
2018,Hardware,Shandong,Series A,1490,poor marketing,323
2018,Real Estate,Shanghai,Angel Round,1943,burn out,324
2018,Entertainment,Shanghai,Series A,1121,burn out,325
2018,Logistics,Guangdong,Pre-A Round,869,get outcompeted,326
2018,Health,Shanghai,Angel Round,1316,no business model,327
2018,Travel,Shanghai,Acquired,2374,product mistimed,328
2018,Education,Shanghai,Series A,1516,ran out of cash,329
2018,Education,Beijing,No Funding,3303,no business model,330
2018,Education,Beijing,Series A,3424,no business model,331
2018,E-Commerce,Jiangsu,Series C,3696,team/investors,332
2018,Education,Shanghai,Series A,1135,burn out,333
2018,Social Media,Beijing,Angel Round,1461,no business model,334
2018,Local Business,Beijing,Angel Round,779,get outcompeted,335
2018,E-Commerce,Beijing,Series A,1825,get outcompeted,336
2018,Sports,Guangdong,Series C,1275,product mistimed,337
2018,Real Estate,Zhejiang,Angel Round,902,supervision,338
2018,Health,Beijing,Strategic,2052,ran out of cash,339
2018,Enterprise Service,Shanghai,Angel Round,1414,product mistimed,340
2018,Finance,Shanghai,Strategic,1351,supervision,341
2018,E-Commerce,Beijing,Seed Round,735,ran out of cash,342
2018,Local Business,Beijing,Series A,1189,get outcompeted,343
2018,Finance,Beijing,Angel Round,1127,lose focus,344
2018,Finance,Beijing,Series B+,1571,ran out of cash,345
2018,Finance,Shanghai,Series B,1781,supervision,346
2018,Finance,Shanghai,Strategic,1781,supervision,347
2018,Finance,Shanghai,Series A,1478,supervision,348
2018,Finance,Beijing,Series C,1781,supervision,349
2018,Finance,Liaoning,Series A+,1569,supervision,350
2018,Finance,Shanghai,Strategic,1382,legal challenges,351
2018,Finance,Guangdong,Series B,1411,supervision,352
2018,Finance,Beijing,Series A,2111,supervision,353
2018,Finance,Zhejiang,Series A,1288,supervision,354
2018,Finance,Shanghai,Pre-A Round,1319,supervision,355
2018,Finance,Zhejiang,Series A,1318,supervision,356
2018,Finance,Shanghai,Series A,1897,supervision,357
2018,Transportation,Hong Kong,Series A,555,burn out,358
2018,Finance,Zhejiang,Series A,800,supervision,359
2018,Finance,Zhejiang,Series A,1105,supervision,360
2018,Finance,Zhejiang,No Funding,1285,pivot gone bad,361
2018,Finance,Zhejiang,Angel Round,1104,supervision,362
2018,Finance,Shanghai,Angel Round,1497,no market need,363
2018,Enterprise Service,Zhejiang,Series A,1070,legal challenges,364
2018,Finance,Shanghai,Series A+,1374,supervision,365
2018,Finance,Zhejiang,Series A,1067,supervision,366
2018,Social Media,Hebei,Angel Round,1424,no business model,367
2018,Social Media,Beijing,No Funding,1424,no business model,368
2018,Local Business,Beijing,Series A,627,get outcompeted,369
2018,Social Media,Shanghai,No Funding,5362,lose focus,370
2018,Enterprise Service,Beijing,Series A,1323,no investor interest,371
2018,Game,Sichuan,No Funding,1885,not the right team,372
2018,Enterprise Service,Beijing,No Funding,1460,no business model,373
2018,Game,Guangdong,Series B,1280,founder,374
2018,E-Commerce,Beijing,Angel Round,3990,no business model,375
2018,Health,Beijing,No Funding,155,no business model,376
2018,Finance,Beijing,No Funding,4567,supervision,377
2018,Travel,Beijing,Series C,2071,no business model,378
2018,Social Media,Beijing,No Funding,1157,no business model,379
2018,Local Business,Beijing,Angel Round,153,pricing/cost issue,380
2018,Finance,Guangdong,Series B,1280,ran out of cash,381
2018,Travel,Beijing,Angel Round,976,no market need,382
2018,Entertainment,Beijing,Angel Round,579,failure to pivot,383
2018,Tool,Fujian,Angel Round,1065,no market need,384
2018,Enterprise Service,Shanghai,Angel Round,1157,get outcompeted,385
2018,E-Commerce,Zhejiang,Angel Round,1065,get outcompeted,386
2018,Local Business,Guangdong,Angel Round,1006,no business model,387
2018,Finance,Shanghai,Angel Round,1096,supervision,388
2018,Finance,Beijing,Angel Round,365,supervision,389
2017,Social Media,Beijing,No Funding,3592,no business model,390
2017,Travel,Shanghai,Series A+,1886,get outcompeted,391
2017,E-Commerce,Beijing,Angel Round,1705,ran out of cash,392
2017,Transportation,Beijing,Angel Round,2131,pricing/cost issue,393
2017,Finance,Shanghai,Series B,1521,supervision,394
2017,E-Commerce,Shanghai,Acquired,1978,pricing/cost issue,395
2017,Entertainment,Shanghai,No Funding,2252,no business model,396
2017,Health,Beijing,Angel Round,1644,lose focus,397
2017,Social Media,Beijing,Angel Round,1613,pivot gone bad,398
2017,Entertainment,Guangdong,Angel Round,1886,no business model,399
2017,E-Commerce,Shanghai,Angel Round,1825,no market need,400
2017,Travel,Beijing,Acquired,1735,get outcompeted,401
2017,Finance,Hunan,No Funding,1705,supervision,402
2017,E-Commerce,Shanghai,No Funding,1947,no business model,403
2017,Entertainment,Guangdong,No Funding,2039,pivot gone bad,404
2017,Social Media,Guangdong,Angel Round,2039,pivot gone bad,405
2017,Tool,Beijing,Angel Round,2160,no business model,406
2017,Game,Hubei,No Funding,2009,get outcompeted,407
2017,Marketing,Beijing,Angel Round,1886,pivot gone bad,408
2017,Health,Fujian,Angel Round,1521,pivot gone bad,409
2017,E-Commerce,Guangdong,No Funding,2100,no market need,410
2017,Social Media,Shanghai,No Funding,1917,no market need,411
2017,E-Commerce,Beijing,Angel Round,1766,no market need,412
2017,Entertainment,Jiangsu,No Funding,1582,no business model,413
2017,E-Commerce,Beijing,Series A,1978,ran out of cash,414
2017,Logistics,Overseas,Series B,1644,no business model,415
2017,Enterprise Service,Guangdong,Angel Round,2191,get outcompeted,416
2017,Real Estate,Shanghai,Angel Round,1917,no market need,417
2017,Social Media,Guangdong,No Funding,1766,pivot gone bad,418
2017,Travel,Shanghai,No Funding,1825,no business model,419
2017,Game,Beijing,Series A,1766,poor marketing,420
2017,Game,Fujian,No Funding,1978,pivot gone bad,421
2017,Entertainment,Beijing,Series A,2009,lose focus,422
2017,Education,Beijing,Angel Round,2070,product mistimed,423
2017,E-Commerce,Beijing,No Funding,1613,poor product,424
2017,Hardware,Beijing,Series A,1856,pricing/cost issue,425
2017,Marketing,Shandong,Series C,2191,pivot gone bad,426
2017,Hardware,Taiwan,Angel Round,1674,no market need,427
2017,Game,Shanghai,Angel Round,1947,burn out,428
2017,Travel,Beijing,Series A+,1644,get outcompeted,429
2017,Education,Beijing,No Funding,4323,no market need,430
2017,Entertainment,Beijing,No Funding,1644,lose focus,431
2017,Entertainment,Beijing,Angel Round,1825,pivot gone bad,432
2017,Entertainment,Beijing,Angel Round,1886,no business model,433
2017,Finance,Zhejiang,No Funding,1521,supervision,434
2017,Health,Beijing,No Funding,1766,no business model,435
2017,Tool,Shandong,No Funding,1825,legal challenges,436
2017,Real Estate,Beijing,No Funding,2100,no business model,437
2017,Entertainment,Beijing,Angel Round,1917,no market need,438
2017,Local Business,Overseas,Series B,2131,get outcompeted,439
2017,Health,Beijing,Angel Round,1886,ran out of cash,440
2017,E-Commerce,Shaanxi,Series A,2131,no business model,441
2017,Local Business,Shanghai,No Funding,1825,lose focus,442
2017,Enterprise Service,Guangdong,No Funding,1886,get outcompeted,443
2017,Transportation,Beijing,No Funding,2375,no business model,444
2017,Education,Beijing,No Funding,1735,pricing/cost issue,445
2017,Local Business,Beijing,No Funding,2100,get outcompeted,446
2017,Finance,Beijing,Angel Round,1552,product mistimed,447
2017,E-Commerce,Shanghai,Angel Round,1735,no business model,448
2017,Real Estate,Sichuan,Angel Round,1825,get outcompeted,449
2017,Social Media,Hunan,Angel Round,1735,ran out of cash,450
2017,Finance,Guangdong,Series A,1886,founder,451
2017,E-Commerce,Guangdong,No Funding,1917,get outcompeted,452
2017,Local Business,Beijing,Series A,1825,founder,453
2017,E-Commerce,Shanghai,No Funding,1340,no business model,454
2017,Game,Beijing,No Funding,2131,pivot gone bad,455
2017,Finance,Fujian,No Funding,2039,ran out of cash,456
2017,Transportation,Zhejiang,No Funding,1825,get outcompeted,457
2017,Marketing,Beijing,No Funding,1735,no business model,458
2017,Education,Liaoning,No Funding,2131,poor marketing,459
2017,Tool,Beijing,No Funding,2100,pivot gone bad,460
2017,E-Commerce,Beijing,No Funding,1735,no business model,461
2017,Travel,Beijing,Angel Round,2009,poor product,462
2017,Local Business,Guangdong,Angel Round,1947,pivot gone bad,463
2017,Enterprise Service,Beijing,Angel Round,1735,product mistimed,464
2017,Real Estate,Beijing,No Funding,2100,no business model,465
2017,Game,Guangdong,Series A,1917,legal challenges,466
2017,Tool,Sichuan,No Funding,1705,no investor interest,467
2017,Entertainment,Beijing,Angel Round,1825,product mistimed,468
2017,E-Commerce,Zhejiang,No Funding,1886,pivot gone bad,469
2017,Sports,Shanghai,Angel Round,2191,legal challenges,470
2017,Education,Beijing,No Funding,1644,not the right team,471
2017,Transportation,Shanghai,Series B,1552,pricing/cost issue,472
2017,Tool,Beijing,Angel Round,2191,no market need,473
2017,Entertainment,Beijing,Angel Round,1552,no market need,474
2017,Education,Guangdong,No Funding,1766,no business model,475
2017,Social Media,Guangdong,No Funding,1825,product mistimed,476
2017,Enterprise Service,Beijing,Angel Round,1613,get outcompeted,477
