destination_province,Gender,Age,Age_amount,depature_province,number,together,dataid
Zhejiang,Female,41,41-60,Shanghai,2,2 people,43
Zhejiang,Female,44,41-60,Sichuan,2,2 people,44
Zhejiang,Female,46,41-60,Sichuan,2,2 people,45
Zhejiang,Female,45,41-60,Shanghai,2,2 people,46
Zhejiang,Female,47,41-60,Shanghai,2,2 people,47
Zhejiang,Female,47,41-60,Shanghai,2,2 people,48
Zhejiang,Female,47,41-60,Shanghai,2,2 people,49
Zhejiang,Female,47,41-60,Shanghai,2,2 people,50
Zhejiang,Female,48,41-60,Shanghai,2,2 people,51
Zhejiang,Female,55,41-60,Beijing,2,2 people,52
Zhejiang,Female,57,41-60,Chongqing,2,2 people,53
Zhejiang,Female,51,41-60,Sichuan,2,2 people,54
Zhejiang,Female,59,41-60,Sichuan,3,3 people,55
Zhejiang,Female,48,41-60,Sichuan,3,3 people,56
Zhejiang,Male,44,41-60,Xizang,3,3 people,57
Zhejiang,Male,58,41-60,Ningxia,4,4 people,58
Zhejiang,Male,18,under 20,Sichuan,4,4 people,59
Zhejiang,Male,69,over 60,Sichuan,4,4 people,60
Zhejiang,Male,73,over 60,Sichuan,4,4 people,61
Zhejiang,Male,25,20-30,Sichuan,1,1 people,62
Zhejiang,Male,25,20-30,Sichuan,1,1 people,63
Zhejiang,Male,24,20-30,Sichuan,1,1 people,64
Zhejiang,Male,23,20-30,Sichuan,1,1 people,65
Zhejiang,Male,27,20-30,Sichuan,1,1 people,66
Zhejiang,Male,25,20-30,Sichuan,1,1 people,67
Zhejiang,Male,25,20-30,Sichuan,1,1 people,68
Yunnan,Female,31,31-40,Ningxia,3,3 people,69
Yunnan,Female,38,31-40,Chongqing,3,3 people,70
Yunnan,Female,36,31-40,Shanghai,6,5-10 people,71
Yunnan,Female,41,41-60,Shanghai,7,5-10 people,72
Yunnan,Female,50,41-60,Sichuan,1,1 people,73
Yunnan,Female,26,20-30,Chongqing,1,1 people,74
Yunnan,Female,25,20-30,Shanghai,2,2 people,75
Yunnan,Female,30,20-30,Shanghai,2,2 people,76
Guangdong,Female,58,41-60,Shanghai,2,2 people,77
Guangdong,Male,37,31-40,Zhejiang,1,1 people,78
Guangdong,Male,31,31-40,Sichuan,3,3 people,79
Guangdong,Male,35,31-40,Beijing,2,2 people,80
Guangdong,Male,35,31-40,Beijing,2,2 people,81
Guangdong,Male,35,31-40,Beijing,2,2 people,82
Guangdong,Male,35,31-40,Beijing,2,2 people,83
Xizang,Female,57,41-60,Beijing,2,2 people,84
Xizang,Female,50,41-60,Sichuan,1,1 people,85
Xizang,Female,21,20-30,Shanghai,2,2 people,86
Xizang,Male,35,31-40,Sichuan,5,5-10 people,87
Chongqing,Female,60,41-60,Ningxia,2,2 people,88
Chongqing,Female,29,20-30,Guangdong,2,2 people,89
Chongqing,Female,30,20-30,Guangdong,2,2 people,90
Chongqing,Male,60,41-60,Shanghai,3,3 people,91
Jiangsu,Female,46,41-60,Sichuan,3,3 people,92
Jiangsu,Female,30,20-30,Chongqing,2,2 people,93
Anhui,Female,44,41-60,Zhejiang,1,1 people,94
Anhui,Female,49,41-60,Sichuan,1,1 people,95
Anhui,Male,27,20-30,Heilongjiang,7,5-10 people,96
Anhui,Male,29,20-30,Qinghai,1,1 people,97
Anhui,Male,30,20-30,Shanghai,1,1 people,98
Neimenggu,Female,28,20-30,Shanghai,2,2 people,99
Neimenggu,Female,29,20-30,Shanghai,2,2 people,100
Neimenggu,Male,32,31-40,Shanghai,2,2 people,101
Neimenggu,Male,31,31-40,Yunnan,2,2 people,102
Neimenggu,Male,35,31-40,Yunnan,8,5-10 people,103
Jiangxi,Male,38,31-40,Sichuan,3,3 people,104
Jiangxi,Male,36,31-40,Sichuan,4,4 people,105
Hunan,Male,40,31-40,Sichuan,4,4 people,106
Hubei,Male,58,41-60,Shanghai,3,3 people,107
Henan,Male,27,20-30,Sichuan,1,1 people,108
Ningxia,Male,30,20-30,Shanghai,1,1 people,109
Hebei,Male,29,20-30,Ningxia,12,over 10 people,110
